GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chronus,com.chronus.domain.service,AppointmentConflictChecker,0,15,0,0,0,3,0,3,0,3
chronus,com.chronus.domain.exception,InvalidPatientDataException,0,4,0,0,0,2,0,1,0,1
chronus,com.chronus.domain.exception,InvalidDateAppointmentException,0,4,0,0,0,2,0,1,0,1
chronus,com.chronus.domain.exception,InvalidPaymentException,0,4,0,0,0,2,0,1,0,1
chronus,com.chronus.domain.exception,InvalidPhoneNumberException,0,4,0,0,0,2,0,1,0,1
chronus,com.chronus.domain.exception,OccupiedAppointmentException,4,0,0,0,2,0,1,0,1,0
chronus,com.chronus.domain.exception,InvalidEmailException,0,4,0,0,0,2,0,1,0,1
chronus,com.chronus.application.usecase,AcceptPaymentUseCase,0,35,0,0,0,11,0,2,0,2
chronus,com.chronus.application.usecase,SendAppointmentReminderUseCase,0,45,0,2,0,13,0,3,0,2
chronus,com.chronus.application.usecase,CreatePatientUseCase,0,11,0,0,0,5,0,2,0,2
chronus,com.chronus.application.usecase,CreateAppointmentUseCase,0,22,0,2,0,7,0,3,0,2
chronus,com.chronus.domain.entity,Payment,0,23,0,0,0,8,0,4,0,4
chronus,com.chronus.domain.entity,Patient,0,48,0,0,0,14,0,6,0,6
chronus,com.chronus.domain.entity,Appointment,0,23,0,0,0,8,0,4,0,4
chronus,com.chronus.domain.valueobject,FullName,0,32,0,6,0,9,0,4,0,1
chronus,com.chronus.domain.valueobject,PatientId,0,30,0,6,0,8,0,4,0,1
chronus,com.chronus.domain.valueobject,PhoneNumber,0,30,0,6,0,8,0,4,0,1
chronus,com.chronus.domain.valueobject,AppointmentDateTime,0,26,0,4,0,7,0,3,0,1
chronus,com.chronus.domain.valueobject,PaymentAmount,0,23,0,6,0,4,0,4,0,1
chronus,com.chronus.domain.valueobject,PaymentId,0,19,0,4,0,5,0,3,0,1
chronus,com.chronus.domain.valueobject,AppointmentId,0,19,0,4,0,5,0,3,0,1
chronus,com.chronus.domain.valueobject,Email,0,33,0,6,0,9,0,4,0,1
chronus,com.chronus.infrastructure.notification,NoOpWhatsAppNotifier,0,4,0,0,0,2,0,2,0,2
chronus,com.chronus.infrastructure.notification,NoOpEmailNotifier,0,4,0,0,0,2,0,2,0,2
chronus,com.chronus.infrastructure.persistence,InMemoryPaymentRepository,0,18,0,0,0,5,0,3,0,3
chronus,com.chronus.infrastructure.persistence,InMemoryPatientRepository,0,34,0,0,0,9,0,5,0,5
chronus,com.chronus.infrastructure.persistence,InMemoryAppointmentRepository,0,34,0,0,0,9,0,5,0,5
